605851,1.01,0.07,-0.18
605861,1.08,-0.15,0.15
605871,1.43,-0.22,0.45
605881,1.19,-0.38,0.68
605891,1.35,-0.35,0.73
605901,1.22,-0.17,0.44
605911,1.17,-0.12,0.02
605921,1.07,0.01,-0.39
605931,0.94,0.20,-0.57
605941,0.80,0.17,-0.48
605951,0.29,-0.06,-0.80
605961,0.87,0.09,-1.03
605971,1.22,0.27,-0.90
605981,1.33,0.27,-0.60
605991,1.02,0.17,-0.21
606001,0.93,-0.10,0.05
606011,1.02,-0.83,0.06
606021,0.82,-2.00,-0.09
606031,0.67,-1.69,0.16
606041,0.77,-0.67,0.28
606051,0.90,1.49,-0.17
606061,0.90,1.99,-0.41
606071,0.96,1.39,-0.11
606081,0.91,0.11,0.00
606091,0.91,0.11,0.00
606101,1.00,-0.21,0.02
606111,1.13,0.17,0.17
606121,1.47,0.18,0.18
606131,1.00,0.22,-0.02
606141,0.96,-0.14,-0.22
606151,0.96,-0.23,-0.31
606161,0.99,-0.07,-0.31
606171,1.00,0.04,-0.24
606181,0.97,0.08,-0.03
606191,0.97,0.12,-0.04
606201,0.98,0.07,-0.13
606211,0.98,-0.07,-0.18
606221,0.98,-0.19,-0.23
606231,1.00,-0.15,-0.35
606241,1.02,-0.05,-0.48
606251,1.01,0.04,-0.37
606261,0.99,0.20,-0.23
606271,1.01,0.15,-0.30
606281,1.00,0.06,-0.36
606291,0.99,0.02,-0.26
606301,0.98,-0.01,-0.16
606311,0.98,-0.02,-0.05
606321,0.98,-0.05,-0.04
606331,0.97,-0.13,-0.04
606341,0.97,-0.13,-0.04
606351,0.97,-0.19,-0.02
606361,0.97,-0.22,-0.05
606371,0.97,-0.16,-0.11
606381,0.98,-0.14,-0.17
606391,0.98,-0.12,-0.16
606401,0.98,-0.15,-0.07
606411,0.99,-0.18,-0.12
606421,0.99,-0.16,-0.22
606431,0.99,-0.17,-0.21
606441,0.98,-0.10,-0.09
606451,0.98,-0.03,-0.16
606461,0.99,0.02,-0.28
606471,0.99,0.05,-0.30
606481,0.99,0.09,-0.25
606491,0.99,0.10,-0.21
606501,0.99,0.07,-0.17
606511,0.99,0.09,-0.22
606521,0.99,0.07,-0.22
606531,0.99,0.02,-0.19
606541,0.99,-0.07,-0.18
606551,0.98,-0.11,-0.18
606561,0.99,-0.08,-0.21
606571,0.98,-0.04,-0.22
